	rxn10158	rxn05312	rxn05318	rJB00240	rxn05158	rxn00615	rxn05209	rxn13836	rxn00148	rxn05229	rxn00250	rxn00134	rxn05581	rxn00097	rxn00251	rxn10165	rxn10053	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00009_e	ATPM	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
0	-415.92418385000036	622.7293177000006	209.11905000000047	415.92418385000036	4.627832299999416	-431.2559322999994	-415.92418385000036	196.1012177000006	209.11905000000002	-209.11905000000002	209.11905000000002	209.11905000000047	431.2559322999994	0.0	209.11905000000002	426.6281000000005	209.11905000000002	-209.11905000000013	431.2559322999994	-431.2559322999994	-196.10121770000057	8.39	-196.1012177000006	196.1012177000006	209.11904999999996
1	-607.8194559000004	911.7291838500007	303.9097279500002	607.8194559000003	0.0	-616.2094559000004	-607.8194559000003	295.51972795000023	303.9097279500002	-303.9097279500002	303.9097279500002	303.9097279500002	616.2094559000004	0.0	303.9097279500002	616.2094559000004	303.9097279500002	-303.9097279500002	616.2094559000004	-616.2094559000004	-295.51972795000034	8.39	-295.51972795000023	295.51972795000023	303.9097279500002
2	-666.6666666666667	1000.0	333.33333333333337	666.6666666666667	0.0	-839.9944633333333	-666.6666666666667	160.00553666666667	168.3955366666667	-168.3955366666667	168.3955366666667	333.33333333333337	839.9944633333333	164.93779666666666	168.3955366666667	839.9944633333333	168.3955366666667	-333.33333333333337	839.9944633333333	-839.9944633333333	-160.00553666666667	8.39	-160.00553666666667	160.00553666666667	333.33333333333337
3	-558.9633168765507	766.3371947942512	351.5894389588502	558.9633168765507	288.4311220822995	-1000.0	-558.9633168765507	54.76831687655073	351.5894389588502	-351.5894389588502	351.5894389588502	351.5894389588502	1000.0	0.0	351.5894389588502	711.5688779177005	351.5894389588502	-351.5894389588502	1000.0	-1000.0	-54.76831687655067	8.39	-54.76831687655073	54.76831687655073	351.5894389588502
4	-345.68514460515223	410.8735743419204	280.49671486838406	345.68514460515223	430.61657026323184	-1000.0	-345.68514460515223	-158.50985539484785	280.49671486838406	-280.49671486838406	280.49671486838406	280.49671486838406	1000.0	0.0	280.49671486838406	569.3834297367682	280.49671486838406	-280.49671486838406	1000.0	-1000.0	158.50985539484782	8.39	158.50985539484785	-158.50985539484785	280.49671486838406
5	-627.9808163983334	922.6282994633333	333.33333333333337	627.9808163983334	77.3717005366667	-1000.0	-627.9808163983334	0.0	85.7617005366667	-85.7617005366667	85.7617005366667	333.33333333333337	1000.0	247.57163279666665	85.7617005366667	922.6282994633333	85.7617005366667	-333.33333333333337	1000.0	-1000.0	0.0	8.39	0.0	0.0	333.33333333333326
6	-545.3469802683335	757.3606272033334	333.33333333333337	545.3469802683335	242.63937279666666	-1000.0	-545.3469802683335	0.0	251.02937279666668	-251.02937279666668	251.02937279666668	333.33333333333337	1000.0	82.30396053666666	251.02937279666668	757.3606272033334	251.02937279666668	-333.33333333333337	1000.0	-1000.0	0.0	8.39	0.0	0.0	333.33333333333337
7	-368.35787231205006	493.94049641606676	242.77524820803342	368.35787231205006	234.38524820803337	-728.3257446241001	-368.35787231205006	0.0	242.77524820803336	-242.77524820803336	242.77524820803336	242.7752482080334	728.3257446241001	0.0	242.77524820803336	493.94049641606676	242.77524820803336	-242.77524820803342	728.3257446241001	-728.3257446241001	0.0	8.39	0.0	0.0	242.77524820803342
8	-238.8327802971816	232.7863004953026	244.8792600990605	238.8327802971816	501.85147980187895	-1000.0	-238.8327802971816	-265.36221970281844	244.8792600990605	-244.8792600990605	244.8792600990605	244.8792600990605	1000.0	0.0	244.8792600990605	498.14852019812105	244.8792600990605	-244.8792600990605	1000.0	-1000.0	265.36221970281844	8.39	265.36221970281844	-265.36221970281844	244.87926009906056
9	-515.5276476235999	773.2914714353999	257.76382381179997	515.5276476235999	0.0	-523.9176476235999	-515.5276476235999	249.37382381179998	257.76382381179997	-257.76382381179997	257.76382381179997	257.76382381179997	523.9176476235999	0.0	257.76382381179997	523.9176476235999	257.76382381179997	-257.76382381179997	523.9176476235999	-523.9176476235999	-249.37382381179998	8.39	-249.37382381179998	249.37382381179998	257.76382381179997
