opt_fraction	R_value	p_value
0.1	0.06665919569136021	0.2070299320843256
0.2	0.08363624352465202	0.1126581375573848
0.3	0.1027374010140249	0.04769219325437352
0.4	0.12033699532992725	0.017143750540368055
0.5	0.06845172433590423	0.17182813793565854
0.6	0.10693681120356441	0.030804684791068054
0.7	0.10814185894260551	0.026863831364128055
0.8	0.1010775924251736	0.036366555581114006
0.9	0.10436308990351852	0.02600753514053144
0.35	0.12150180771824216	0.016090592734594462
0.375	0.11974725788150577	0.01769957101968349
0.387	0.12045242038851856	0.01703676681748232
0.425	0.14631100774566994	0.003240969404604857
0.45	0.11058533684377557	0.028993370841154636
0.413	0.119098179483333	0.01832944544246918
