	rJB00264	rxn00781	rxn05312	rxn05318	rxn10113	rJB00267	rxn08556	rxn05158	rxn00615	rxn00148	rxn10042	rxn01100	rxn00134	rxn05581	rxn00459	rxn00097	rxn00747	rxn01106	rxn10165	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00020_e	rxn05469	ATPM	DM_cpd00002_c
0	181.04779661458335	181.04779661458335	625.2351695312503	359.9980932291667	181.04779661458335	181.04779661458335	181.04779661458335	454.7591101562499	-818.9522033854166	181.04779661458335	181.04779661458335	-181.04779661458335	359.9980932291667	818.9522033854166	181.04779661458335	178.95029661458338	-181.04779661458335	-181.04779661458335	545.2408898437501	-442.0898729166669	181.04779661458335	-359.9980932291667	818.9522033854166	-1000.0	101.05351692708297	442.0898729166669	-181.04779661458335	-79.99427968750024	181.04779661458335	-181.04779661458335	8.39	359.99809322916656
1	139.57348958333336	139.57348958333336	540.9782398437496	277.0494791666667	139.57348958333336	139.57348958333336	139.57348958333336	290.1701976562504	-571.414676822917	139.57348958333336	139.57348958333336	-139.57348958333353	277.0494791666671	571.414676822917	139.57348958333364	137.4759895833337	-139.57348958333353	-139.57348958333364	420.8179687500001	-399.30725026041637	139.5734895833334	-277.0494791666671	571.414676822917	-710.9881664062505	19.41321848958387	399.30725026041637	-139.5734895833334	-120.1602710937496	139.57348958333353	-139.57348958333353	8.39	277.0494791666667
2	218.89602742799474	218.89602742799474	965.8692468519528	435.6945548559895	218.89602742799474	218.89602742799474	218.89602742799474	341.21441771601576	-781.1039725720052	218.89602742799477	218.89602742799474	-218.89602742799474	435.6945548559895	781.1039725720052	218.89602742799477	216.79852742799474	-218.89602742799474	-218.89602742799477	658.7855822839842	-744.8757194239581	218.89602742799474	-435.6945548559895	781.1039725720052	-1000.0	-88.18763713997373	744.8757194239581	-218.89602742799474	-307.08366456796847	218.89602742799477	-218.89602742799477	8.39	435.6945548559895
3	139.57348958333336	139.57348958333336	685.7731684742187	277.0494791666667	139.57348958333336	139.57348958333336	139.57348958333336	145.37526902578145	-426.6197481924482	139.57348958333336	139.57348958333336	-139.57348958333353	277.0494791666671	426.6197481924482	139.57348958333364	137.4759895833337	-139.57348958333353	-139.57348958333364	420.8179687500001	-544.1021788908854	139.5734895833334	-277.0494791666671	426.6197481924482	-566.1932377757815	-125.3817101408851	544.1021788908854	-139.5734895833334	-264.9551997242186	139.57348958333353	-139.57348958333353	8.39	277.0494791666667
4	160.2691687919271	160.2691687919271	643.1741751677083	318.4408375838542	160.2691687919271	160.2691687919271	160.2691687919271	312.1483375838543	-634.7841751677086	160.2691687919271	160.2691687919271	-160.2691687919271	318.4408375838542	634.7841751677086	160.2691687919271	158.17166879192712	-160.2691687919271	-160.2691687919271	482.90500637578134	-480.80750637578114	160.2691687919271	-318.4408375838542	634.7841751677086	-795.0533439596356	0.0	480.80750637578114	-160.2691687919271	-160.26916879192697	160.2691687919271	-160.2691687919271	8.39	318.4408375838542
5	199.93406379047565	199.93406379047565	801.8337551619027	397.77062758095127	199.93406379047565	199.93406379047565	199.93406379047565	391.4781275809512	-793.4437551619025	199.93406379047565	199.93406379047565	-199.93406379047565	397.77062758095127	793.4437551619025	199.93406379047565	197.83656379047562	-199.93406379047565	-199.93406379047565	601.8996913714269	-599.802191371427	199.93406379047565	-397.77062758095127	793.4437551619025	-993.3778189523781	0.0	599.802191371427	-199.93406379047565	-199.93406379047576	199.93406379047565	-199.93406379047565	8.39	397.7706275809514
6	139.57348958333333	139.57348958333333	396.76133488046776	277.04947916666663	139.57348958333333	139.57348958333333	139.57348958333333	434.3871026195321	-715.6315817861987	139.57348958333333	139.57348958333333	-139.57348958333353	277.0494791666671	715.6315817861987	139.57348958333364	137.4759895833337	-139.57348958333353	-139.57348958333364	420.8179687500001	-255.09034529713455	139.5734895833334	-277.0494791666671	715.6315817861987	-855.2050713695321	163.63012345286552	255.09034529713455	-139.5734895833334	24.05663386953222	139.57348958333353	-139.57348958333353	8.39	277.0494791666667
7	139.57348958333338	139.57348958333338	786.8043891936352	277.04947916666674	139.57348958333338	139.57348958333338	139.57348958333338	44.34404830636513	-325.5885274730319	139.57348958333338	139.57348958333338	-139.57348958333353	277.0494791666671	325.5885274730319	139.57348958333364	137.4759895833337	-139.57348958333353	-139.57348958333364	420.8179687500001	-645.1333996103018	139.5734895833334	-277.0494791666671	325.5885274730319	-465.16201705636524	-226.41293086030163	645.1333996103018	-139.5734895833334	-365.9864204436351	139.57348958333353	-139.57348958333353	8.39	277.0494791666667
8	170.63770407543257	170.63770407543257	1000.0	339.1779081508651	170.63770407543257	170.63770407543257	170.63770407543257	17.533724452595322	-360.90663260346037	170.63770407543257	170.63770407543257	-170.63770407543257	339.1779081508651	360.90663260346037	170.63770407543257	168.54020407543254	-170.63770407543257	-170.63770407543257	514.0106122262976	-827.2647959245676	170.63770407543257	-339.1779081508651	360.90663260346037	-531.5443366788929	-315.3516836982697	827.2647959245676	-170.63770407543257	-485.98938777370245	170.63770407543257	-170.63770407543257	8.39	339.17790815086516
9	182.51565635137615	182.51565635137624	1000.0	362.9338127027524	182.51565635137624	182.51565635137615	182.51565635137624	88.80143810825709	-455.9302508110093	182.51565635137624	182.51565635137615	-182.51565635137624	362.9338127027524	455.9302508110093	182.51565635137624	180.41815635137615	-182.51565635137624	-182.51565635137624	549.6444690541284	-815.386843648624	182.5156563513762	-362.9338127027524	455.9302508110093	-638.4459071623855	-267.8398745944952	815.386843648624	-182.5156563513762	-450.3555309458716	182.51565635137624	-182.51565635137624	8.39	362.93381270275233
