opt_fraction	R_value	p_value
0.1	0.2097793046120253	0.2658707651857283
0.2	0.21701788311981296	0.24934521296308507
0.3	0.13932431146255606	0.4627794870697026
0.4	0.21717898598330898	0.24898532047502842
0.5	0.1958838191909154	0.2909270238963597
0.6	0.21989224739622595	0.23459226472354808
0.7	0.043948195879415695	0.7961940358944399
0.8	0.096602725554001	0.518308585541261
0.9	0.1265258231760188	0.3666357148716175
0.55	0.20387466958789874	0.2712958288631542
0.65	0.15437742040313027	0.38335025326867544
0.587	0.22226946088159058	0.22944399010176897
0.625	0.24081580569753278	0.18427763113716233
0.575	0.13775729755472096	0.45989773377518617
0.613	0.1848850556157129	0.31938986648426043
