opt_fraction	R_value	p_value
0.1	0.13850810928831941	0.007627845044302142
0.2	0.10792962891197774	0.03958062697157491
0.3	0.10570954590868158	0.04185655008066273
0.4	0.1150947179813773	0.025829194123168562
0.5	0.1626863579881831	0.0011587121855482193
0.6	0.09362447237585597	0.05668778400100824
0.7	0.11638126055390004	0.017429354307027512
0.8	0.06372254147316338	0.18064363834279132
0.9	0.09901892182062422	0.03374034218412575
0.45	0.09620630134645353	0.054839424487463546
0.55	0.11177227762345605	0.02466060543201764
0.475	0.14474411998998396	0.0038506186166007805
0.487	0.1631213661362074	0.0011233550648081004
0.525	0.15635391256866266	0.001779587896591573
0.513	0.17585851747277303	0.00043092733759008246
