	rxn10125	rxn00083	rxn05312	rxn05318	rxn05158	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
0	-452.00850850000006	-452.00850850000006	501.1016950000001	298.542339	394.52532199999996	-1000.0	298.542339	298.542339	298.542339	-298.542339	1000.0	298.542339	605.474678	104.37298299999992	-298.542339	1000.0	-1000.0	104.37298299999998	-104.37298299999992	104.37298299999992	8.39	298.542339
1	-356.169644	-356.169644	477.68952533333334	234.64976266666667	226.2597626666667	-703.949288	234.64976266666667	234.64976266666667	234.64976266666667	-234.64976266666667	703.949288	234.64976266666667	477.68952533333334	0.0	-234.64976266666667	703.949288	-703.949288	-1.1368683772161603e-13	0.0	0.0	8.39	234.64976266666667
2	-302.9365	-302.9365	448.5671187119998	199.16099999999994	148.91588128800004	-555.6278812879999	199.16099999999994	199.16099999999994	199.16099999999994	-199.16099999999994	555.6278812879999	199.16099999999994	406.7119999999999	-41.85511871199992	-199.16099999999994	555.6278812879999	-555.6278812879999	-41.85511871199992	41.85511871199992	-41.85511871199992	8.39	199.16099999999994
3	-526.6935847585	-526.6935847585	750.051949195	348.33238983900003	294.945220322	-1000.0	348.33238983900003	348.33238983900003	348.33238983900003	-348.33238983900003	1000.0	348.33238983900003	705.0547796779999	-44.99716951700003	-348.33238983900003	1000.0	-1000.0	-44.99716951699986	44.99716951700003	-44.99716951700009	8.39	348.33238983900003
4	-430.330347356	-430.330347356	576.5704631413333	284.0902315706667	275.7002315706667	-852.270694712	284.0902315706667	284.0902315706667	284.0902315706667	-284.0902315706667	852.270694712	284.0902315706667	576.5704631413333	0.0	-284.0902315706667	852.270694712	-852.270694712	0.0	0.0	0.0	8.39	284.0902315706667
5	-302.9365	-302.9365	226.8254314747117	199.161	370.6575685252882	-777.3695685252882	199.161	199.161	199.161	-199.161	777.3695685252882	199.161	406.7119999999999	179.88656852528817	-199.161	777.3695685252882	-777.3695685252881	179.8865685252881	-179.88656852528817	179.8865685252881	8.39	199.16099999999994
6	-596.8200987944915	-596.8200987944915	983.8069959816385	395.08339919632766	201.44320160734466	-1000.0	395.08339919632766	395.08339919632766	395.08339919632766	-395.08339919632766	1000.0	395.08339919632766	798.5567983926553	-185.25019758898304	-395.08339919632766	1000.0	-1000.0	-185.25019758898316	185.25019758898304	-185.25019758898316	8.39	395.08339919632766
7	-377.3234322415	-377.3234322415	252.15144080499977	248.752288161	494.105423678	-1000.0	248.752288161	248.752288161	248.752288161	-248.752288161	1000.0	248.752288161	505.894576322	253.743135517	-248.752288161	1000.0	-1000.0	253.74313551700038	-253.743135517	253.7431355170002	8.39	248.752288161
8	-302.9365	-302.9365	522.8761434747116	199.16099999999994	74.60685652528802	-481.3188565252879	199.16099999999994	199.16099999999994	199.16099999999994	-199.16099999999994	481.3188565252879	199.16099999999994	406.7119999999999	-116.16414347471192	-199.16099999999994	481.3188565252879	-481.3188565252879	-116.16414347471175	116.16414347471192	-116.16414347471175	8.39	199.16099999999994
9	-319.015131618644	-319.015131618644	428.15017549152526	209.88008774576264	201.49008774576268	-629.640263237288	209.88008774576264	209.88008774576264	209.88008774576264	-209.88008774576264	629.640263237288	209.88008774576264	428.15017549152526	0.0	-209.88008774576264	629.640263237288	-629.640263237288	0.0	0.0	0.0	8.39	209.88008774576258
