	rxn10158	rxn05312	rxn05318	rxn05561	rxn05158	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
0	-452.0085085	501.1016949999997	298.54233899999997	452.0085085	394.52532200000013	-1000.0	298.54233899999997	298.54233899999997	298.54233899999997	-298.54233899999997	1000.0	298.54233899999997	605.4746779999998	104.37298300000015	-298.54233899999997	1000.0	-1000.0	104.3729830000002	-104.37298300000015	104.37298300000009	8.39	298.54233899999997
1	-356.16964399999995	477.6895253333332	234.64976266666662	356.16964399999995	226.2597626666666	-703.9492879999998	234.64976266666662	234.64976266666662	234.64976266666662	-234.64976266666662	703.9492879999998	234.64976266666662	477.6895253333332	0.0	-234.64976266666662	703.9492879999998	-703.9492879999998	0.0	0.0	0.0	8.39	234.64976266666656
2	-526.6935847585	750.0519491950001	348.33238983900003	526.6935847585	294.94522032199995	-1000.0	348.33238983900003	348.33238983900003	348.33238983900003	-348.33238983900003	1000.0	348.33238983900003	705.054779678	-44.99716951700009	-348.33238983900003	1000.0	-1000.0	-44.99716951700009	44.99716951700009	-44.99716951700009	8.39	348.33238983900003
3	-302.9364999999999	448.567118712	199.16099999999994	302.9364999999999	148.9158812879998	-555.6278812879997	199.16099999999994	199.16099999999994	199.16099999999994	-199.16099999999994	555.6278812879997	199.16099999999994	406.7119999999999	-41.85511871200015	-199.16099999999994	555.6278812879997	-555.6278812879997	-41.85511871200015	41.85511871200015	-41.85511871200015	8.39	199.16099999999997
4	-430.33034735599995	576.5704631413332	284.0902315706667	430.33034735599995	275.70023157066663	-852.2706947119999	284.0902315706667	284.0902315706667	284.0902315706667	-284.0902315706667	852.2706947119999	284.0902315706667	576.5704631413332	0.0	-284.0902315706667	852.2706947119999	-852.2706947119998	0.0	0.0	0.0	8.39	284.0902315706667
5	-302.9365	226.8254314747116	199.16100000000006	302.9365	370.6575685252885	-777.3695685252886	199.16100000000006	199.16100000000006	199.16100000000006	-199.16100000000006	777.3695685252886	199.16100000000006	406.712	179.88656852528845	-199.16100000000006	777.3695685252886	-777.3695685252885	179.88656852528834	-179.88656852528845	179.8865685252884	8.39	199.16099999999997
6	-596.8200987944915	983.8069959816384	395.0833991963277	596.8200987944915	201.4432016073447	-1000.0	395.0833991963277	395.0833991963277	395.0833991963277	-395.0833991963277	1000.0	395.0833991963277	798.5567983926553	-185.25019758898304	-395.0833991963277	1000.0	-1000.0	-185.25019758898316	185.25019758898304	-185.250197588983	8.39	395.0833991963276
7	-377.62157625849983	253.14525419499944	248.9510508389999	377.62157625849983	493.70789832200023	-1000.0	248.9510508389999	248.9510508389999	248.9510508389999	-248.9510508389999	1000.0	248.9510508389999	506.29210167799977	253.14684748300033	-248.9510508389999	1000.0	-1000.0	253.14684748300033	-253.14684748300033	253.14684748300033	8.39	248.9510508389999
8	-302.9365	522.8761434747123	199.161	302.9365	74.6068565252877	-481.3188565252877	199.161	199.161	199.161	-199.161	481.3188565252877	199.161	406.712	-116.16414347471232	-199.161	481.3188565252877	-481.3188565252877	-116.16414347471226	116.16414347471232	-116.16414347471232	8.39	199.16099999999997
9	-489.4257317055084	655.3643089406779	323.4871544703389	489.4257317055084	315.0971544703389	-970.4614634110168	323.4871544703389	323.4871544703389	323.4871544703389	-323.4871544703389	970.4614634110168	323.4871544703389	655.3643089406779	0.0	-323.4871544703389	970.4614634110168	-970.4614634110169	0.0	0.0	0.0	8.39	323.487154470339
10	-319.1634530253558	428.34793736714107	209.97896868357054	319.1634530253558	201.58896868357056	-629.9369060507116	209.97896868357054	209.97896868357054	209.97896868357054	-209.97896868357054	629.9369060507116	209.97896868357054	428.34793736714107	0.0	-209.97896868357054	629.9369060507116	-629.9369060507116	0.0	0.0	0.0	8.39	209.97896868357054
11	-561.6867152624596	866.6957175415326	371.66114350830657	561.6867152624596	248.28771298338694	-1000.0	371.66114350830657	371.66114350830657	371.66114350830657	-371.66114350830657	1000.0	371.66114350830657	751.7122870166131	-114.98343052491964	-371.66114350830657	1000.0	-1000.0	-114.98343052491964	114.98343052491964	-114.98343052491953	8.39	371.66114350830657
12	-302.9365000000001	115.73284616883008	199.1610000000001	302.9365000000001	481.75015383117005	-888.4621538311702	199.1610000000001	199.1610000000001	199.1610000000001	-199.1610000000001	888.4621538311702	199.1610000000001	406.712	290.9791538311699	-199.1610000000001	888.4621538311702	-888.4621538311701	290.97915383117004	-290.9791538311699	290.9791538311699	8.39	199.16099999999997
13	-556.6846957559396	1000.0	368.3264638372931	556.6846957559396	104.97939151187927	-850.0223191864654	368.3264638372931	368.3264638372931	368.3264638372931	-368.3264638372931	850.0223191864654	368.3264638372931	745.0429276745862	-254.95707232541383	-368.3264638372931	850.0223191864654	-850.0223191864654	-254.95707232541383	254.95707232541383	-254.9570723254138	8.39	368.3264638372931
14	-404.02867057834743	799.6673411566949	266.55578038556496	404.02867057834743	0.0	-541.5015607711299	266.55578038556496	266.55578038556496	266.55578038556496	-266.55578038556496	541.5015607711299	266.55578038556496	541.5015607711299	-258.165780385565	-266.55578038556496	541.5015607711299	-541.5015607711299	-258.16578038556486	258.165780385565	-258.165780385565	8.39	266.55578038556496
15	-302.9365	340.9217984642424	199.16100000000006	302.9365	256.5612015357576	-663.2732015357577	199.16100000000006	199.16100000000006	199.16100000000006	-199.16100000000006	663.2732015357577	199.16100000000006	406.712	65.79020153575755	-199.16100000000006	663.2732015357577	-663.2732015357576	65.79020153575766	-65.79020153575755	65.79020153575766	8.39	199.16099999999997
