	rxn01451	rxn10125	rxn01452	rxn05312	rxn05318	rxn05158	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
0	-452.0085084999999	-452.0085084999999	452.0085084999999	605.4746779999999	298.54233899999997	290.1523389999999	-895.6270169999998	298.54233899999997	298.54233899999997	298.54233899999997	-298.54233899999997	895.6270169999998	298.54233899999997	605.4746779999999	0.0	-298.54233899999997	895.6270169999998	-895.6270169999998	0.0	0.0	0.0	8.39	298.54233899999986
1	-330.0242117584998	-330.0242117584998	330.0242117584998	442.82894901133307	217.21947450566654	208.82947450566655	-651.6584235169996	217.21947450566654	217.21947450566654	217.21947450566654	-217.21947450566654	651.6584235169996	217.21947450566654	442.82894901133307	0.0	-217.21947450566654	651.6584235169996	-651.6584235169996	0.0	0.0	0.0	8.39	217.21947450566654
2	-403.7670084999998	-403.7670084999998	403.7670084999998	340.29669499999943	266.3813389999999	458.84732200000025	-1000.0	266.3813389999999	266.3813389999999	266.3813389999999	-266.3813389999999	1000.0	266.3813389999999	541.1526779999997	200.85598300000026	-266.3813389999999	1000.0	-1000.0	200.85598300000026	-200.85598300000026	200.85598300000026	8.39	266.3813389999999
3	-526.6935847585	-526.6935847585	526.6935847585	750.0519491950001	348.33238983900003	294.94522032199995	-1000.0	348.33238983900003	348.33238983900003	348.33238983900003	-348.33238983900003	1000.0	348.33238983900003	705.054779678	-44.99716951700009	-348.33238983900003	1000.0	-1000.0	-44.9971695170002	44.99716951700009	-44.99716951700009	8.39	348.332389839
4	-302.9364999999999	-302.9364999999999	302.9364999999999	474.764841817983	199.16099999999994	122.71815818201685	-529.4301581820167	199.16099999999994	199.16099999999994	199.16099999999994	-199.16099999999994	529.4301581820167	199.16099999999994	406.7119999999999	-68.05284181798311	-199.16099999999994	529.4301581820167	-529.4301581820167	-68.05284181798311	68.05284181798311	-68.05284181798311	8.39	199.16099999999997
5	-391.13834442599136	-391.13834442599136	391.13834442599136	524.3144592346551	257.9622296173276	249.5722296173276	-773.8866888519827	257.9622296173276	257.9622296173276	257.9622296173276	-257.9622296173276	773.8866888519827	257.9622296173276	524.3144592346551	0.0	-257.9622296173276	773.8866888519827	-773.8866888519827	0.0	0.0	0.0	8.39	257.9622296173276
6	-600.3362664496196	-600.3362664496196	600.3362664496196	1000.0	397.42751096641314	192.28253289923936	-995.5275548320656	397.42751096641314	397.42751096641314	397.42751096641314	-397.42751096641314	995.5275548320656	397.42751096641314	803.2450219328261	-196.75497806717385	-397.42751096641314	995.5275548320656	-995.5275548320656	-196.75497806717377	196.75497806717385	-196.75497806717385	8.39	397.42751096641314
7	-302.9365	-302.9365	302.9365	172.58194919499923	199.16100000000003	424.9010508050008	-831.6130508050009	199.16100000000003	199.16100000000003	199.16100000000003	-199.16100000000003	831.6130508050009	199.16100000000003	406.712	234.13005080500076	-199.16100000000003	831.6130508050009	-831.6130508050007	234.1300508050008	-234.13005080500076	234.13005080500076	8.39	199.16099999999997
8	-454.0814322414999	-454.0814322414999	454.0814322414999	508.0114408049999	299.92428816099994	391.7614236780001	-1000.0	299.92428816099994	299.92428816099994	299.92428816099994	-299.92428816099994	1000.0	299.92428816099994	608.238576322	100.22713551700014	-299.92428816099994	1000.0	-1000.0	100.22713551700008	-100.22713551700014	100.22713551700008	8.39	299.92428816099994
9	-564.1108079640085	-564.1108079640085	564.1108079640085	874.7760265466951	373.277205309339	245.05558938132197	-1000.0	373.277205309339	373.277205309339	373.277205309339	-373.277205309339	1000.0	373.277205309339	754.944410618678	-119.83161592801707	-373.277205309339	1000.0	-1000.0	-119.83161592801719	119.83161592801707	-119.83161592801707	8.39	373.277205309339
10	-490.460120652517	-490.460120652517	490.460120652517	656.743494203356	324.176747101678	315.78674710167803	-972.530241305034	324.176747101678	324.176747101678	324.176747101678	-324.176747101678	972.530241305034	324.176747101678	656.743494203356	0.0	-324.176747101678	972.530241305034	-972.530241305034	-2.2737367544323206e-13	0.0	0.0	8.39	324.17674710167796
11	-302.9365	-302.9365	302.9365	88.55686154669439	199.161	508.9261384533057	-915.6381384533058	199.161	199.161	199.161	-199.161	915.6381384533058	199.161	406.7120000000001	318.1551384533057	-199.161	915.6381384533058	-915.6381384533058	318.15513845330565	-318.1551384533057	318.1551384533057	8.39	199.16099999999997
12	-302.9364999999999	-302.9364999999999	302.9364999999999	536.0012027508095	199.16099999999994	61.48179724919032	-468.1937972491902	199.16099999999994	199.16099999999994	199.16099999999994	-199.16099999999994	468.1937972491902	199.16099999999994	406.7119999999999	-129.28920275080964	-199.16099999999994	468.1937972491902	-468.1937972491902	-129.28920275080964	129.28920275080964	-129.28920275080964	8.39	199.16099999999997
13	-360.642392224913	-360.642392224913	360.642392224913	483.6531896332173	237.6315948166087	229.24159481660874	-712.8947844498261	237.6315948166087	237.6315948166087	237.6315948166087	-237.6315948166087	712.8947844498261	237.6315948166087	483.6531896332174	0.0	-237.6315948166087	712.8947844498261	-712.8947844498261	0.0	0.0	0.0	8.39	237.63159481660875
14	-302.9364999999999	-302.9364999999999	302.9364999999999	413.52848088515657	199.16099999999994	183.95451911484327	-590.6665191148431	199.16099999999994	199.16099999999994	199.16099999999994	-199.16099999999994	590.6665191148431	199.16099999999994	406.7119999999999	-6.816480885156693	-199.16099999999994	590.6665191148431	-590.6665191148431	-6.816480885156693	6.816480885156693	-6.816480885156693	8.39	199.16099999999997
15	-552.3617744912593	-552.3617744912593	552.3617744912593	1000.0	365.4445163275062	96.33354898251855	-835.6125816375309	365.4445163275062	365.4445163275062	365.4445163275062	-365.4445163275062	835.6125816375309	365.4445163275062	739.2790326550123	-260.7209673449877	-365.4445163275062	835.6125816375309	-835.6125816375309	-260.72096734498757	260.7209673449877	-260.7209673449877	8.39	365.4445163275061
16	-302.9365	-302.9365	302.9365	256.60703684330434	199.16100000000006	340.8759631566958	-747.5879631566959	199.16100000000006	199.16100000000006	199.16100000000006	-199.16100000000006	747.5879631566959	199.16100000000006	406.712	150.1049631566957	-199.16100000000006	747.5879631566959	-747.5879631566958	150.10496315669565	-150.1049631566957	150.10496315669565	8.39	199.16099999999997
17	-427.9359999999998	-427.9359999999998	427.9359999999998	847.4819999999995	282.49399999999986	0.0	-573.3779999999997	282.49399999999986	282.49399999999986	282.49399999999986	-282.49399999999986	573.3779999999997	282.49399999999986	573.3779999999997	-274.10399999999987	-282.49399999999986	573.3779999999997	-573.3779999999997	-274.1039999999998	274.10399999999987	-274.10399999999987	8.39	282.49399999999974
18	-334.6354694761704	-334.6354694761704	334.6354694761704	109.85823158723417	220.29364631744681	551.0227073651064	-1000.0	220.29364631744681	220.29364631744681	220.29364631744681	-220.29364631744681	1000.0	220.29364631744681	448.97729263489373	339.11906104765956	-220.29364631744681	1000.0	-1000.0	339.1190610476598	-339.11906104765956	339.11906104765956	8.39	220.29364631744681
19	-479.18832968850836	-479.18832968850836	479.18832968850836	591.7010989616948	316.662219792339	358.2855604153221	-1000.0	316.662219792339	316.662219792339	316.662219792339	-316.662219792339	1000.0	316.662219792339	641.7144395846778	50.013340622983065	-316.662219792339	1000.0	-1000.0	50.01334062298292	-50.013340622983065	50.013340622983094	8.39	316.6622197923389
20	-582.8568367899683	-582.8568367899683	582.8568367899683	937.2627892998942	385.7745578599788	220.06088428004233	-1000.0	385.7745578599788	385.7745578599788	385.7745578599788	-385.7745578599788	1000.0	385.7745578599788	779.9391157199577	-157.32367357993644	-385.7745578599788	1000.0	-1000.0	-157.32367357993644	157.32367357993644	-157.32367357993647	8.39	385.7745578599788
21	-508.61308616961446	-508.61308616961446	508.61308616961446	689.7836205653813	336.27872411307624	319.0525517738475	-1000.0	336.27872411307624	336.27872411307624	336.27872411307624	-336.27872411307624	1000.0	336.27872411307624	680.9474482261526	-8.836172339228767	-336.27872411307624	1000.0	-1000.0	-8.836172339228597	8.836172339228767	-8.836172339228767	8.39	336.27872411307635
