	rxn10125	rJB00264	rxn00248	rxn08094	rxn02465	rxn00184	rxn05156	rxn05312	rxn05318	rxn00799	rJB00240	rJB00238	rxn05561	rJB00267	rxn00285	rxn05307	rxn00165	rxn05158	rxn00615	rxn00148	rxn10042	rxn01637	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn01636	rxn10165	rxn01917	rxn05467	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00106_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00064_e	EX_cpd00036_e	ATPM	DM_cpd00002_c
0	-61.65843749999972	123.31687499999941	41.10562499999978	20.552812499999906	20.55281249999991	41.10562499999981	20.552812499999906	256.2813541666655	216.4333333333323	-41.10562499999978	20.552812499999906	-20.552812499999906	20.552812499999877	123.31687499999941	-20.552812499999906	-41.10562499999981	-41.10562499999981	393.0186458333315	-649.299999999997	216.4333333333323	123.31687499999941	20.552812499999906	175.3277083333325	216.4333333333323	-175.3277083333325	649.299999999997	216.43333333333237	-20.552812499999906	256.2813541666655	-20.55281249999991	-61.65843749999976	61.65843749999971	-216.4333333333323	61.65843749999976	-41.10562499999978	649.299999999997	-649.299999999997	-20.552812499999895	41.10562499999981	-61.65843749999971	-20.552812499999906	20.552812499999906	8.39	216.4333333333323
1	-78.13037812499991	156.26075624999982	52.08691874999994	26.04345937499997	26.04345937499997	52.08691874999994	26.04345937499997	323.9993322916663	275.000233333333	-52.08691874999994	26.04345937499997	-26.04345937499997	26.04345937499997	156.26075624999982	-26.04345937499997	-52.08691874999994	-52.08691874999994	501.0013677083327	-825.0006999999989	275.000233333333	156.26075624999982	26.04345937499997	222.91331458333303	275.000233333333	-222.91331458333303	825.0006999999989	275.000233333333	-26.04345937499997	323.99933229166624	-26.04345937499997	-78.13037812499991	78.13037812499991	-275.000233333333	78.13037812499991	-52.08691874999994	825.0006999999989	-825.0006999999989	-26.04345937499997	52.08691874999994	-78.13037812499991	-26.04345937499997	26.04345937499997	8.39	275.000233333333
2	-45.31774687499877	90.63549374999755	30.21183124999918	15.10591562499959	15.10591562499959	30.21183124999918	15.10591562499959	189.10295937499495	158.33309999999562	-30.21183124999918	15.10591562499959	-15.10591562499959	15.10591562499959	90.63549374999755	-15.10591562499959	-30.21183124999918	-30.21183124999918	285.8963406249919	-474.9992999999868	158.33309999999562	90.63549374999755	15.10591562499959	128.12126874999643	158.33309999999562	-128.12126874999643	474.9992999999868	158.33309999999562	-15.10591562499959	189.1029593749949	-15.10591562499959	-45.31774687499878	45.317746874998775	-158.33309999999562	45.31774687499878	-30.21183124999918	474.9992999999868	-474.9992999999868	-15.105915624999597	30.21183124999918	-45.317746874998775	-15.10591562499959	15.10591562499959	8.39	158.33309999999562
3	-69.91087975312482	139.8217595062496	46.607253168749864	23.30362658437494	23.30362658437494	46.60725316874988	23.30362658437494	290.2080612072909	245.77535023333263	-46.607253168749864	23.303626584374943	-23.303626584374943	23.30362658437492	139.8217595062496	-23.30362658437494	-46.60725316874988	-46.60725316874988	447.11798949270707	-737.326050699998	245.77535023333263	139.8217595062496	23.30362658437494	199.16809706458278	245.77535023333263	-199.16809706458278	737.326050699998	245.77535023333263	-23.30362658437494	290.2080612072909	-23.30362658437494	-69.91087975312479	69.9108797531248	-245.77535023333263	69.91087975312479	-46.607253168749864	737.326050699998	-737.326050699998	-23.30362658437491	46.60725316874988	-69.9108797531248	-23.30362658437494	23.303626584374943	8.39	245.77535023333266
4	-37.13106087187336	74.26212174374672	24.7540405812489	12.377020290624454	12.377020290624454	24.75404058124891	12.377020290624454	155.44658358436823	129.22488309999414	-24.7540405812489	12.377020290624456	-12.377020290624456	12.377020290624445	74.26212174374672	-12.377020290624454	-24.75404058124891	-24.75404058124891	232.2280657156142	-387.67464929998243	129.22488309999414	74.26212174374672	12.377020290624454	104.47084251874527	129.22488309999414	-104.47084251874527	387.67464929998243	129.22488309999414	-12.377020290624454	155.44658358436823	-12.377020290624454	-37.13106087187333	37.13106087187336	-129.22488309999414	37.13106087187333	-24.7540405812489	387.67464929998243	-387.67464929998243	-12.377020290624394	24.75404058124891	-37.13106087187336	-12.377020290624454	12.377020290624456	8.39	129.22488309999412
5	-86.34987649687501	172.69975299375002	57.566584331250006	28.783292165625003	28.783292165625003	57.566584331250006	28.783292165625003	357.79060337604176	304.22511643333337	-57.566584331250006	28.783292165625003	-28.783292165625003	28.783292165625003	172.69975299375002	-28.783292165625003	-57.566584331250006	-57.566584331250006	554.8847459239583	-912.6753493	304.22511643333337	172.69975299375002	28.783292165625003	246.65853210208334	304.22511643333337	-246.65853210208334	912.6753493	304.22511643333337	-28.783292165625003	357.79060337604164	-28.783292165625003	-86.34987649687503	86.34987649687501	-304.22511643333337	86.34987649687503	-57.566584331250006	912.6753493	-912.6753493	-28.783292165625028	57.566584331250006	-86.34987649687501	-28.783292165625003	28.783292165625003	8.39	304.22511643333337
6	-53.504432878124206	107.00886575624841	35.66962191874947	17.834810959374735	17.834810959374735	35.66962191874947	17.834810959374735	222.75933516562168	187.44131689999716	-35.66962191874947	17.834810959374735	-17.834810959374735	17.834810959374735	107.00886575624841	-17.834810959374735	-35.66962191874947	-35.66962191874947	339.56461553436975	-562.3239506999914	187.44131689999716	107.00886575624841	17.834810959374735	151.7716949812477	187.44131689999716	-151.7716949812477	562.3239506999914	187.44131689999716	-17.834810959374735	222.75933516562174	-17.834810959374735	-53.504432878124206	53.504432878124206	-187.44131689999716	53.504432878124206	-35.66962191874947	562.3239506999914	-562.3239506999914	-17.834810959374693	35.66962191874947	-53.504432878124206	-17.834810959374735	17.834810959374735	8.39	187.44131689999716
7	-65.79291106881537	131.58582213763071	43.861940712543564	21.93097035627179	21.93097035627179	43.86194071254358	21.93097035627179	273.2786343940187	231.13368380023238	-43.861940712543564	21.93097035627179	-21.93097035627179	21.930970356271775	131.58582213763071	-21.93097035627179	-43.86194071254358	-43.86194071254358	420.12241700667846	-693.4010514006972	231.13368380023238	131.58582213763071	21.93097035627179	187.27174308768883	231.13368380023238	-187.27174308768883	693.4010514006972	231.13368380023238	-21.93097035627179	273.2786343940187	-21.93097035627179	-65.79291106881533	65.79291106881536	-231.13368380023238	65.79291106881533	-43.861940712543564	693.4010514006972	-693.4010514006972	-21.93097035627175	43.86194071254358	-65.79291106881536	-21.93097035627179	21.93097035627179	8.39	231.13368380023235
8	-33.02953118430751	66.05906236861502	22.019687456205	11.009843728102503	11.009843728102503	22.019687456205006	11.009843728102503	138.58473931326427	114.64166643309336	-22.019687456205	11.009843728102501	-11.009843728102501	11.009843728102497	66.05906236861502	-11.009843728102503	-22.019687456205006	-22.019687456205006	205.34025998601584	-343.92499929928005	114.64166643309336	66.05906236861502	11.009843728102503	92.62197897688837	114.64166643309336	-92.62197897688837	343.92499929928005	114.64166643309336	-11.009843728102503	138.5847393132642	-11.009843728102503	-33.029531184307494	33.02953118430751	-114.64166643309336	33.029531184307494	-22.019687456205	343.92499929928005	-343.92499929928005	-11.009843728102581	22.019687456205006	-33.02953118430751	-11.009843728102503	11.009843728102501	8.39	114.64166643309332
9	-74.02884843743426	148.05769687486853	49.352565624956156	24.67628281247809	24.67628281247809	49.35256562495618	24.67628281247809	307.1374880205632	260.4170166664329	-49.352565624956156	24.676282812478085	-24.676282812478085	24.67628281247807	148.05769687486853	-24.67628281247809	-49.35256562495618	-49.35256562495618	474.11356197873556	-781.2510499992986	260.4170166664329	148.05769687486853	24.67628281247809	211.0644510414768	260.4170166664329	-211.0644510414768	781.2510499992986	260.4170166664329	-24.67628281247809	307.13748802056307	-24.67628281247809	-74.02884843743422	74.02884843743426	-260.4170166664329	74.02884843743422	-49.352565624956156	781.2510499992986	-781.2510499992986	-24.676282812478156	49.35256562495618	-74.02884843743426	-24.67628281247809	24.676282812478085	8.39	260.41701666643286
