opt_fraction	R_value	p_value
0.1	0.15242897041638892	0.003332237113510523
0.2	0.23180578769734855	7.439402868175473e-06
0.3	0.23595944840825897	3.62402904023362e-06
0.4	0.20647532740722752	3.712089580060348e-05
0.5	0.17308775831222536	0.0004904132784934518
0.6	0.18429781470554668	0.00017829398168288992
0.7	0.20173247248460804	3.115434530253472e-05
0.8	0.19836791061640413	3.5055655553643876e-05
0.9	0.2255370709848091	1.0510339888563645e-06
0.25	0.23588815510747335	3.6493311152803512e-06
0.35	0.21509392795322788	1.7874890069297185e-05
0.287	0.2358606984155938	3.659120445286077e-06
0.325	0.2176715131961875	1.9608638565787873e-05
0.275	0.23660613097525646	3.4020460518890844e-06
0.313	0.2381756268668042	2.828613753340108e-06
