	rxn00872	rxn01451	rxn00616	rxn10125	rxn13726	rxn00248	rxn00781	rxn00154	rxn01802	rxn01452	rxn10074	rxn05312	rxn05318	rxn00799	rxn05561	rxn10113	rxn00615	rxn00148	rxn10042	rxn01100	rxn00134	rxn05581	rxn00459	rxn00097	rxn00251	rxn00747	rxn01106	rxn10165	rxn05467	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00106_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00001_e	EX_cpd00007_e	rxn13837	rxn01730	ATPM	EX_cpd00379_e	rxn00178	DM_cpd00002_c
0	1.048750000000041	-395.53385416666515	1.048750000000041	-395.53385416666515	3.1462500000002365	1.0487500000001546	1.048750000000041	2.097500000000082	-1.048750000000041	395.53385416666515	-1.048750000000041	599.1999999999978	199.73333333333258	-1.0487499999999272	1.0487499999999272	3.146250000000009	-598.1512499999977	2.0975000000001955	3.146250000000009	-1.048750000000041	199.73333333333258	598.1512499999977	1.048750000000041	197.63583333333258	1.048749999999984	-1.048750000000041	-1.048750000000041	599.1999999999978	-2.097499999999968	-2.0975000000005366	1.5731250000000045	-199.73333333333258	2.097499999999968	-1.0487499999999272	598.1512499999977	-599.1999999999978	2.0975000000005366	-1.5731250000000045	-1.048750000000041	-1.048750000000041	8.39	1.048750000000041	1.048750000000041	199.73333333333255
1	1.048750000000041	-528.8666541666659	1.048750000000041	-528.8666541666659	3.1462500000002365	1.0487500000001546	1.048750000000041	2.097500000000082	-1.048750000000041	528.8666541666659	-1.048750000000041	799.1991999999988	266.3997333333329	-1.0487499999999272	1.0487499999999272	3.146250000000009	-798.1504499999987	2.0975000000001955	3.146250000000009	-1.048750000000041	266.3997333333329	798.1504499999987	1.048750000000041	264.3022333333329	1.048749999999984	-1.048750000000041	-1.048750000000041	799.1991999999988	-2.097499999999968	-2.0975000000005366	1.5731250000000045	-266.3997333333329	2.097499999999968	-1.0487499999999272	798.1504499999987	-799.1991999999988	2.0975000000005366	-1.5731250000000045	-1.048750000000041	-1.048750000000041	8.39	1.048750000000041	1.048750000000041	266.3997333333329
2	1.048750000000041	-262.2010541666644	1.048750000000041	-262.2010541666644	3.1462500000002365	1.0487500000001546	1.048750000000041	2.097500000000082	-1.048750000000041	262.2010541666644	-1.048750000000041	399.2007999999966	133.0669333333322	-1.0487499999999272	1.0487499999999272	3.146250000000009	-398.1520499999966	2.0975000000001955	3.146250000000009	-1.048750000000041	133.0669333333322	398.1520499999966	1.048750000000041	130.9694333333322	1.048749999999984	-1.048750000000041	-1.048750000000041	399.2007999999966	-2.097499999999968	-2.0975000000005366	1.5731250000000045	-133.0669333333322	2.097499999999968	-1.0487499999999272	398.1520499999966	-399.2007999999966	2.0975000000005366	-1.5731250000000045	-1.048750000000041	-1.048750000000041	8.39	1.048750000000041	1.048750000000041	133.0669333333322
3	1.048750000000041	-595.6663869666661	1.048750000000041	-595.6663869666661	3.1462500000002365	1.0487500000001546	1.048750000000041	2.097500000000082	-1.048750000000041	595.6663869666661	-1.048750000000041	899.3987991999992	299.7995997333331	-1.0487499999999272	1.0487499999999272	3.146250000000009	-898.3500491999991	2.0975000000001955	3.146250000000009	-1.048750000000041	299.7995997333331	898.3500491999991	1.048750000000041	297.70209973333306	1.048749999999984	-1.048750000000041	-1.048750000000041	899.3987991999992	-2.097499999999968	-2.0975000000005366	1.5731250000000045	-299.7995997333331	2.097499999999968	-1.0487499999999272	898.3500491999991	-899.3987991999992	2.0975000000005366	-1.5731250000000045	-1.048750000000041	-1.048750000000041	8.39	1.048750000000041	1.048750000000041	299.7995997333331
4	1.048750000000041	-328.73412136666485	1.048750000000041	-328.73412136666485	3.1462500000002365	1.0487500000001546	1.048750000000041	2.097500000000082	-1.048750000000041	328.73412136666485	-1.048750000000041	499.00040079999724	166.3334669333324	-1.0487499999999272	1.0487499999999272	3.146250000000009	-497.95165079999725	2.0975000000001955	3.146250000000009	-1.048750000000041	166.3334669333324	497.95165079999725	1.048750000000041	164.2359669333324	1.048749999999984	-1.048750000000041	-1.048750000000041	499.00040079999724	-2.097499999999968	-2.0975000000005366	1.5731250000000045	-166.3334669333324	2.097499999999968	-1.0487499999999272	497.95165079999725	-499.00040079999724	2.0975000000005366	-1.5731250000000045	-1.048750000000041	-1.048750000000041	8.39	1.048750000000041	1.048750000000041	166.33346693333243
5	1.048750000000041	-462.0669213666656	1.048750000000041	-462.0669213666656	3.1462500000002365	1.0487500000001546	1.048750000000041	2.097500000000082	-1.048750000000041	462.0669213666656	-1.048750000000041	698.9996007999983	232.99986693333278	-1.0487499999999272	1.0487499999999272	3.146250000000009	-697.9508507999983	2.0975000000001955	3.146250000000009	-1.048750000000041	232.99986693333278	697.9508507999983	1.048750000000041	230.9023669333328	1.048749999999984	-1.048750000000041	-1.048750000000041	698.9996007999983	-2.097499999999968	-2.0975000000005366	1.5731250000000045	-232.99986693333278	2.097499999999968	-1.0487499999999272	697.9508507999983	-698.9996007999983	2.0975000000005366	-1.5731250000000045	-1.048750000000041	-1.048750000000041	8.39	1.048750000000041	1.048750000000041	232.99986693333273
6	1.048750000000041	-195.9335880333307	1.048750000000041	-195.9335880333307	3.1462500000002365	1.0487500000001546	1.048750000000041	2.097500000000082	-1.048750000000041	195.9335880333307	-1.048750000000041	299.799600799996	99.93320026666535	-1.0487499999999272	1.0487499999999272	3.146250000000009	-298.750850799996	2.0975000000001955	3.146250000000009	-1.048750000000041	99.93320026666535	298.750850799996	1.048750000000041	97.83570026666536	1.048749999999984	-1.048750000000041	-1.048750000000041	299.799600799996	-2.097499999999968	-2.0975000000005366	1.5731250000000045	-99.93320026666535	2.097499999999968	-1.0487499999999272	298.750850799996	-299.799600799996	2.0975000000005366	-1.5731250000000045	-1.048750000000041	-1.048750000000041	8.39	1.048750000000041	1.048750000000041	99.93320026666527
7	1.048750000000041	-629.2671880338663	1.048750000000041	-629.2671880338663	3.1462500000002365	1.0487500000001546	1.048750000000041	2.097500000000082	-1.048750000000041	629.2671880338663	-1.048750000000041	949.8000008007995	316.60000026693314	-1.0487499999999272	1.0487499999999272	3.146250000000009	-948.7512508007994	2.0975000000001955	3.146250000000009	-1.048750000000041	316.60000026693314	948.7512508007994	1.048750000000041	314.5025002669331	1.048749999999984	-1.048750000000041	-1.048750000000041	949.8000008007995	-2.097499999999968	-2.0975000000005366	1.5731250000000045	-316.60000026693314	2.097499999999968	-1.0487499999999272	948.7512508007994	-949.8000008007995	2.0975000000005366	-1.5731250000000045	-1.048750000000041	-1.048750000000041	8.39	1.048750000000041	1.048750000000041	316.60000026693314
8	1.048750000000041	-362.2007874994649	1.048750000000041	-362.2007874994649	3.1462500000002365	1.0487500000001546	1.048750000000041	2.097500000000082	-1.048750000000041	362.2007874994649	-1.048750000000041	549.2003999991974	183.06679999973244	-1.0487499999999272	1.0487499999999272	3.146250000000009	-548.1516499991975	2.0975000000001955	3.146250000000009	-1.048750000000041	183.06679999973244	548.1516499991975	1.048750000000041	180.96929999973244	1.048749999999984	-1.048750000000041	-1.048750000000041	549.2003999991974	-2.097499999999968	-2.0975000000005366	1.5731250000000045	-183.06679999973244	2.097499999999968	-1.0487499999999272	548.1516499991975	-549.2003999991974	2.0975000000005366	-1.5731250000000045	-1.048750000000041	-1.048750000000041	8.39	1.048750000000041	1.048750000000041	183.06679999973255
9	1.048750000000041	-562.3333202994661	1.048750000000041	-562.3333202994661	3.1462500000002365	1.0487500000001546	1.048750000000041	2.097500000000082	-1.048750000000041	562.3333202994661	-1.048750000000041	849.399199199199	283.13306639973297	-1.0487499999999272	1.0487499999999272	3.146250000000009	-848.3504491991989	2.0975000000001955	3.146250000000009	-1.048750000000041	283.13306639973297	848.3504491991989	1.048750000000041	281.03556639973294	1.048749999999984	-1.048750000000041	-1.048750000000041	849.399199199199	-2.097499999999968	-2.0975000000005366	1.5731250000000045	-283.13306639973297	2.097499999999968	-1.0487499999999272	848.3504491991989	-849.399199199199	2.0975000000005366	-1.5731250000000045	-1.048750000000041	-1.048750000000041	8.39	1.048750000000041	1.048750000000041	283.13306639973314
