PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,KEGG,HMDB,8-10-17_BIT_0_0_A_1,8-10-17_BIT_0_0_B_1,8-10-17_BIT_0_0_C_1,8-10-17_BIT_0_0_D_1,8-30-17_BIT_0_0_A_1,8-30-17_BIT_0_0_B_1,8-30-17_BIT_0_0_C_1,8-30-17_BIT_0_0_D_1,8-10-17_BIT_0_0.1_A_1,8-10-17_BIT_0_0.1_B_1,8-10-17_BIT_0_0.1_C_1,8-10-17_BIT_0_0.1_F_1,8-30-17_BIT_0_0.1_A_1,8-30-17_BIT_0_0.1_B_1,8-30-17_BIT_0_0.1_D_1,8-30-17_BIT_0_0.1_F_1,8-10-17_BIT_0_10_A_1,8-10-17_BIT_0_10_B_1,8-10-17_BIT_0_10_C_1,8-10-17_BIT_0_10_D_1,8-30-17_BIT_0_10_A_1,8-30-17_BIT_0_10_B_1,8-30-17_BIT_0_10_C_1,8-30-17_BIT_0_10_D_1,8-10-17_BIT_5_0_A_1,8-10-17_BIT_5_0_B_1,8-10-17_BIT_5_0_C_1,8-10-17_BIT_5_0_D_1,8-30-17_BIT_5_0_A_1,8-30-17_BIT_5_0_B_1,8-30-17_BIT_5_0_C_1,8-30-17_BIT_5_0_D_1,8-10-17_BIT_5_0.1_A_1,8-10-17_BIT_5_0.1_B_1,8-10-17_BIT_5_0.1_C_1,8-10-17_BIT_5_0.1_F_1,8-30-17_BIT_5_0.1_A_1,8-30-17_BIT_5_0.1_B_1,8-30-17_BIT_5_0.1_D_1,8-30-17_BIT_5_0.1_F_1,8-10-17_BIT_5_10_A_1,8-10-17_BIT_5_10_B_1,8-10-17_BIT_5_10_C_1,8-10-17_BIT_5_10_D_1,8-30-17_BIT_5_10_A_1,8-30-17_BIT_5_10_B_1,8-30-17_BIT_5_10_C_1,8-30-17_BIT_5_10_D_1,8-10-17_BIT_24_0_A_1,8-10-17_BIT_24_0_B_1,8-10-17_BIT_24_0_C_1,8-10-17_BIT_24_0_D_1,8-30-17_BIT_24_0_A_1,8-30-17_BIT_24_0_B_1,8-30-17_BIT_24_0_C_1,8-30-17_BIT_24_0_D_1,8-10-17_BIT_24_0.1_A_1,8-10-17_BIT_24_0.1_B_1,8-10-17_BIT_24_0.1_C_1,8-10-17_BIT_24_0.1_F_1,8-30-17_BIT_24_0.1_A_1,8-30-17_BIT_24_0.1_B_1,8-30-17_BIT_24_0.1_D_1,8-30-17_BIT_24_0.1_F_1,8-10-17_BIT_24_10_A_1,8-10-17_BIT_24_10_B_1,8-10-17_BIT_24_10_C_1,8-10-17_BIT_24_10_D_1,8-30-17_BIT_24_10_A_1,8-30-17_BIT_24_10_B_1,8-30-17_BIT_24_10_C_1,8-30-17_BIT_24_10_D_1
3566,6-hydroxynicotinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,27680,LC/MS Polar,100000809,2000,138.01966,5006-66-6,72924,C01020,HMDB02658,"27,405,012","34,958,224","25,237,036","27,087,158","30,515,836","21,160,282","27,863,168","24,405,968","26,999,992","35,557,128","33,863,648","33,598,228","30,479,272","29,414,556","32,376,376","30,759,448","26,335,442","26,775,208","36,721,828","26,250,626","31,561,778","22,719,308","31,092,356","31,764,768","33,815,236","24,782,912","34,548,004","31,825,406","22,407,796","22,882,160","32,037,516","25,764,544","31,824,760","35,025,904","34,859,140","23,867,988","26,506,728","20,991,448","20,635,510","30,834,940","21,197,024","31,628,510","30,506,490","24,209,288","18,283,058","22,356,872","17,478,280","21,321,904","28,070,456","32,628,972","27,991,418","26,337,954","33,670,836","30,986,800","27,042,798","34,095,940","23,098,712","22,956,984","24,132,404","23,832,206","28,581,364","20,704,948","22,308,816","27,880,474","22,748,192","29,781,702","28,761,104","23,044,772","18,513,508","22,269,892","16,853,510","27,656,458"
111,6-oxopiperidine-2-carboxylate,Amino Acid,Lysine Metabolism,43231,LC/MS Neg,100004499,965,142.05096,34622-39-4,3014237,,HMDB61705,"3,864,832","4,247,550","3,739,907","3,533,634","4,023,632","3,781,521","4,119,269","3,842,457","3,786,770","4,513,837","4,163,387","4,205,740","4,269,861","4,695,712","4,220,738","4,615,702","3,756,216","3,807,064","3,741,769","3,860,124","3,819,332","4,195,417","3,896,504","4,189,082","3,900,249","3,530,526","3,862,295","4,057,432","3,597,998","3,698,001","3,812,466","3,745,282","3,862,972","3,893,352","3,863,492","3,505,951","3,967,829","3,373,552","3,662,365","3,716,000","3,776,493","4,701,615","4,290,038","4,142,831","3,891,093","4,350,423","4,073,676","3,925,033","3,850,877","4,097,935","4,164,971","4,015,900","4,069,782","4,378,334","3,961,715","4,474,656","3,871,417","3,066,086","3,374,011","3,798,950","3,713,283","3,586,657","3,617,164","4,024,601","4,016,357","4,498,759","4,162,067","4,094,326","4,100,575","4,396,661","3,663,803","4,539,160"
3445,7-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",35114,LC/MS Pos Early,100001456,2175,166.07234,578-76-7,11361,C02242,HMDB00897,"10,720,252","10,538,306","8,678,093","10,169,874","11,927,859","11,986,310","11,176,461","10,887,677","9,507,145","11,619,952","11,424,577","10,976,809","12,347,204","12,230,391","10,746,995","11,705,870","11,378,150","11,073,330","11,725,969","9,451,771","12,703,731","12,151,370","13,639,679","12,381,054","10,849,558","9,872,218","9,573,022","10,676,447","9,726,179","11,664,398","12,021,373","11,044,943","9,288,799","9,817,489","10,249,184","9,354,951","10,562,997","10,675,674","10,476,413","10,871,889","6,151,168","7,534,125","7,316,784","6,077,944","6,367,061","7,705,728","5,976,481","5,086,471","8,935,905","9,898,042","8,772,722","10,932,820","13,472,349","11,811,194","12,433,940","13,411,432","9,690,903","7,962,461","9,370,977","9,735,669","10,433,307","9,409,245","10,838,456","10,188,511","4,766,110","6,288,669","7,177,400","6,139,493","5,466,931","8,274,107","6,791,298","7,103,982"
3455,8-hydroxyguanine,Nucleotide,"Purine Metabolism, Guanine containing",38672,LC/MS Pos Early,100002744,951,168.0516,5614-64-2,65154,C20155,HMDB02032,"8,979,402","8,907,970","9,365,926","8,802,941","9,078,163","8,497,792","7,932,607","11,030,752","9,110,797","10,208,768","8,568,877","9,584,768","9,534,224","9,728,903","10,244,874","10,780,745","9,489,537","10,448,883","9,084,260","9,179,493","8,909,597","10,569,547","9,829,606","10,606,687","6,221,439","6,830,556","5,311,426","6,428,142","6,904,573","8,217,910","7,942,679","8,292,328","8,492,096","7,819,925","8,620,300","9,667,212","8,600,907","7,986,275","9,302,294","9,694,589","5,679,790","4,299,600","5,024,869","5,549,336","4,264,631","3,115,713","4,721,857","5,250,648",,"1,819,977",,"723,416","200,914",,,,"8,404,970","8,133,585","8,262,143","8,456,447","8,067,395","7,651,540","9,599,998","9,707,237","4,337,534","5,117,342","4,999,767","5,365,693","4,542,552","3,944,641","3,384,895","5,140,590"
1579,"9,10-DiHOME",Lipid,"Fatty Acid, Dihydroxy",38399,LC/MS Neg,179,5180,313.23843,263399-34-4,9966640,C14828,HMDB04704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,271,988","75,826,712","72,171,424","69,023,864","23,498,462","21,470,228","43,978,616","22,231,178",,,,,,,,,,,,,,,,,"109,250,736","88,767,616","103,316,560","117,587,224","22,079,974","23,466,410","47,110,092","25,451,512",,,,,,,,
1124,aconitate [cis or trans],Energy,TCA Cycle,46173,LC/MS Neg,100001359,580,173.00916,,,,,"45,259,008","46,650,168","45,016,796","45,145,768","43,366,344","43,461,528","46,459,328","45,909,024","44,287,632","47,756,820","46,413,376","46,411,636","45,662,944","43,112,448","44,982,732","49,023,984","42,304,312","44,166,260","42,240,932","45,009,624","45,421,100","46,948,544","42,871,456","46,593,832","41,547,524","41,519,400","40,596,104","40,247,888","46,394,440","47,052,864","45,428,784","45,416,980","38,897,032","39,933,996","42,519,616","39,787,132","44,012,044","32,611,892","35,264,032","34,172,544","43,051,416","44,357,468","43,343,812","43,856,536","42,893,520","45,178,620","41,499,272","42,257,492","41,000,668","40,836,520","44,701,876","43,716,296","46,354,792","48,628,420","59,163,280","46,529,712","47,632,516","43,068,264","46,143,652","44,958,944","44,734,752","44,905,920","46,280,068","46,105,284","41,091,928","42,255,020","40,817,376","41,313,644","43,359,600","41,350,556","41,641,512","42,847,492"
3409,adenosine,Nucleotide,"Purine Metabolism, Adenine containing",555,LC/MS Pos Early,798,2169,268.10404,58-61-7,60961,C00212,HMDB00050,"2,563,368","2,220,981","2,092,020","1,905,687","3,383,848","2,680,392","1,380,756","4,247,002","2,084,345","1,893,923","2,451,441","2,156,861","4,935,205","5,065,404","2,834,812","3,923,943","5,626,903","5,720,322","4,914,160","2,698,970","2,796,648","5,152,534","4,201,628","4,211,185","2,354,710","2,539,971","2,102,182","3,376,305","1,452,422","2,247,487","1,334,476","2,013,852","1,715,666","1,784,229","2,132,093","1,330,927","550,287","659,860","1,982,745","1,340,479",,,,,,,,,"995,436","756,019","1,069,772","964,160","671,729","819,678","1,105,126","1,001,728","1,358,668","1,577,078","1,359,931","1,419,308","467,468","513,513","427,137","631,443","1,523,848","1,270,237","1,974,974","1,813,671",,,"1,014,254","991,808"
3404,adenosine 2'-monophosphate (2'-AMP),Nucleotide,"Purine Metabolism, Adenine containing",36815,LC/MS Neg,100001694,1497.7,346.0558,130-49-4,94136,C00946,HMDB11617,"5,298,017","5,465,728","5,177,190","5,862,570","5,846,060","5,008,422","5,279,934","5,600,869","5,195,781","6,451,149","6,002,279","6,131,409","5,542,977","6,335,970","5,503,731","5,992,345","4,780,554","5,448,388","5,336,117","5,598,993","5,279,047","5,466,514","5,023,614","6,000,209","5,346,901","4,917,855","4,444,944","4,963,131","4,238,275","4,679,584","4,704,966","5,189,546","5,218,938","4,904,410","5,715,594","4,535,295","5,766,254","4,258,485","4,858,352","4,931,730","4,672,325","5,273,164","4,973,419","5,322,108","4,747,227","4,934,831","4,630,123","4,359,745","4,206,836","5,206,530","4,567,432","4,824,878","4,632,887","4,730,438","5,402,806","4,841,098","5,187,352","4,804,769","4,645,109","5,148,912","4,587,967","4,904,953","4,630,276","5,213,017","4,595,574","4,770,382","4,292,888","4,980,283","4,509,177","5,340,405","4,727,413","5,175,000"
3407,"adenosine 3',5'-diphosphate",Nucleotide,"Purine Metabolism, Adenine containing",15691,LC/MS Neg,1214,575,426.02214,75431-54-8,159296,C00054,HMDB00061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116,929","125,103","148,308","138,467","179,761","124,464","179,536","223,221","205,297","193,700","175,708","229,361","205,190","191,554","200,242","245,676",,,,,,,"86,390",,"176,472","141,942","199,214","211,269","194,469","184,068","95,050","253,756","214,425","213,680","123,284","214,155","172,467","164,582","201,397","265,799"
3403,adenosine 3'-monophosphate (3'-AMP),Nucleotide,"Purine Metabolism, Adenine containing",35142,LC/MS Neg,100001449,1245,346.0558,84-21-9,41211,C01367,HMDB03540,"7,175,022","7,688,575","7,073,029","7,466,948","8,350,776","7,477,016","7,971,805","7,760,166","7,549,723","8,172,103","8,130,117","8,264,638","8,249,774","9,001,124","7,778,887","8,585,383","7,369,624","7,810,732","7,614,704","7,546,417","7,702,459","7,587,893","7,952,497","8,739,650","7,649,566","7,276,672","7,519,530","7,476,020","6,630,236","7,168,422","8,192,785","7,805,467","7,219,424","7,289,511","8,425,024","6,812,678","8,299,275","6,528,018","6,959,177","7,374,624","7,178,985","8,681,194","7,488,415","7,262,038","7,159,414","8,809,214","6,558,689","7,087,754","7,142,771","8,078,400","7,270,774","7,704,810","8,352,618","9,000,446","9,118,350","9,630,495","7,804,482","7,034,599","6,899,036","7,363,356","7,013,721","6,814,814","6,945,170","7,761,689","6,980,092","7,987,768","7,418,692","6,958,125","7,341,739","8,560,666","7,005,338","8,946,359"
3402,adenosine 5'-monophosphate (AMP),Nucleotide,"Purine Metabolism, Adenine containing",32342,LC/MS Neg,209,822,346.05581,149022-20-8,6083,C00020,HMDB00045,"605,252","682,568","687,994","573,515","1,040,346","891,243","1,074,534","721,693","638,927","705,674","720,486","620,846","1,110,614","1,153,905","771,032","908,928","718,659","651,898","678,008","735,853","914,098","913,550","891,582","796,645","831,536","850,228","769,108","790,720","889,283","986,683","983,588","739,462","4,142,484","3,805,806","4,838,263","3,767,473","6,762,724","5,184,384","5,484,208","5,604,913","2,618,100","3,050,092","2,818,127","2,800,400","2,759,658","3,205,964","2,843,335","2,385,970","1,092,445","1,217,821","1,171,970","1,159,456","1,497,704","1,784,501","9,038,463","1,317,108","5,801,353","5,104,004","4,974,791","5,829,229","6,376,276","5,792,432","5,747,101","6,271,789","2,588,217","2,955,246","2,871,796","2,488,736","2,673,645","3,262,529","3,017,977","2,628,290"
3406,"adenosine-2',3'-cyclic monophosphate",Nucleotide,"Purine Metabolism, Adenine containing",37467,LC/MS Neg,72,1793,328.04524,37063-35-7,2024,C02353,HMDB11616,"27,589,884","26,849,628","28,282,544","25,981,888","25,932,904","27,403,336","25,354,622","27,103,034","28,304,142","28,796,294","29,852,068","27,567,648","27,079,044","28,712,692","26,674,350","27,679,278","26,469,544","27,186,298","26,943,112","27,934,096","25,397,474","27,173,680","25,026,152","26,759,724","23,976,188","25,263,656","23,833,556","24,214,920","22,341,182","24,626,004","23,498,568","25,617,312","25,991,624","24,366,668","26,992,420","24,712,618","26,097,300","22,508,944","24,516,256","24,088,832","25,259,890","25,045,320","24,429,206","25,906,404","23,327,288","24,397,284","23,005,630","23,660,332","23,087,130","23,782,076","24,263,604","27,015,732","23,606,610","23,281,704","17,855,764","24,951,804","30,419,272","27,808,296","28,148,146","28,538,862","23,588,680","23,502,234","23,105,308","23,756,924","23,420,260","25,953,240","23,077,112","23,656,458","23,158,668","22,800,034","23,340,012","24,628,778"
28,alanine,Amino Acid,Alanine and Aspartate Metabolism,1126,LC/MS Pos Early,811,1700,90.05496,56-41-7,5950,C00041,HMDB00161,"164,161,904","94,362,152","125,013,624","161,501,728","22,557,416","16,169,894","23,622,038","27,197,744","152,754,896","181,782,720","136,787,376","175,278,352","22,670,346","21,103,046","20,923,436","26,261,708","166,671,248","159,476,624","128,699,184","136,577,248","21,167,936","23,786,620","19,667,084","24,025,696","12,477,611","13,274,369","10,864,824","10,709,204","8,862,660","11,591,386","9,964,565","13,692,150","187,162,720","204,444,560","201,555,936","242,598,176","85,468,360","83,344,576","101,957,328","80,230,512","161,741,552","139,329,328","116,307,488","157,737,648","50,030,852","42,665,816","54,429,900","58,163,552","5,719,449","5,537,887","5,691,559","7,981,563","7,283,375","4,573,894","29,617,918","4,313,050","409,072,576","325,061,792","335,195,168","375,315,456","225,378,160","242,705,600","270,365,952","223,417,200","227,402,832","189,319,776","202,758,032","225,607,792","116,241,768","105,254,856","131,280,128","114,781,400"
843,alanyl-glutamyl-meso-diaminopimelate,Peptide,Polypeptide,53165,LC/MS Neg,100008987,635,389.16778,,826,,,"671,826","697,031","655,398","695,455","661,707","580,562","504,694","753,605","707,303","799,344","610,279","782,507","678,929","718,144","668,400","727,792","718,612","694,033","688,746","692,059","640,384","644,484","778,038","767,281","670,962","711,261","694,288","749,254","544,744","556,362","515,677","705,645","737,563","858,103","1,001,459","776,706","868,360","789,646","936,187","919,960","689,837","786,173","903,150","804,841","538,080","530,124","544,603","685,877","764,314","724,170","853,076","903,460","660,881","680,897","1,204,697","758,429","1,303,797","1,087,698","1,153,624","1,220,898","1,034,481","997,953","1,357,769","1,210,994","791,181","822,060","719,294","892,848","613,243","493,902","578,762","690,607"
482,alanylleucine,Peptide,Dipeptide,37093,LC/MS Pos Early,100001890,3055,203.13902,1638-60-4,259583,,HMDB28691,"289,763",,"220,156",,"263,477","249,171","194,797","294,567","203,523","278,015","301,071","339,547","355,760","222,635","156,573","305,304","302,468","262,789","83,863","226,288","157,804","348,248","296,496","266,011",,,,,,"69,049",,,"1,535,345","1,766,491","1,902,971","1,658,601","2,087,201","2,037,533","2,289,628","2,230,212","1,644,104","1,390,921","1,415,226","1,459,356","536,990","527,070","529,371","919,893",,,,,,,"215,674",,"6,236,786","5,138,960","4,897,114","5,454,506","5,104,870","5,291,139","5,153,294","5,711,458","2,268,298","2,407,167","2,654,958","2,284,057","2,100,652","1,963,130","1,857,002","2,210,117"
3396,allantoin,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1107,LC/MS Polar,1002,1672,157.03671,97-59-6,204,C02350,HMDB00462,"1,166,650","1,182,931","1,137,042","1,075,052","1,159,707","975,759","1,213,995","999,104","1,155,189","1,280,360","1,200,237","1,201,046","1,199,375","981,063","1,100,536","1,118,469","1,274,283","1,105,611","1,324,291","1,063,790","1,091,317","860,994","1,257,981","1,042,774","1,101,498","945,430","1,334,221","1,119,393","1,086,793","1,178,097","1,156,379","951,933","940,872","1,260,693","886,847","830,150","1,306,841","968,618","768,583","928,107","457,186","550,486","580,218","449,487","827,482","942,174","777,637","617,859","557,686","1,150,751","500,673","949,681","1,346,154","1,023,550",,"823,975","1,016,887","895,084","888,849","948,282","1,165,658","1,221,789","934,384","979,606","695,598","689,067","815,852","628,015","1,345,624","1,386,806","1,473,534","1,025,798"
18,allo-threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",15142,LC/MS Polar,100000272,2511.1,118.05096,28954-12-3,99289,C05519,HMDB04041,,"3,209,539",,"1,327,372","3,381,942","1,548,770","2,028,911",,,"3,080,535","2,595,040","2,636,867","3,299,445","2,187,525","3,676,495","2,529,478","1,916,236","2,438,125","2,571,092","2,464,059","2,248,351","312,175","3,700,011","2,284,582","2,395,709","1,559,872","2,284,971","1,807,174","2,217,288","2,011,897","2,930,697","2,157,571","2,644,946","1,481,591","2,634,445",,"2,043,072",,,"2,043,346",,"1,523,591","3,036,207",,,"1,334,648",,,,"569,782","488,576",,"909,343","651,995","558,070","607,694","1,134,291",,"2,284,175","1,897,861","2,137,200","2,691,894",,"3,978,125",,"3,120,296","2,356,492","2,313,888",,"3,360,351","1,964,278","3,700,774"
264,alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22132,LC/MS Neg,100000706,1840,131.07136,10303-64-7,83697,C03264,HMDB00746,"4,105,042","3,461,411","3,862,164","3,618,358","4,576,512","4,577,938","4,843,503","4,048,978","3,838,310","3,866,146","4,534,950","3,639,644","4,288,616","4,625,658","3,851,728","4,654,966","4,246,777","4,166,087","3,371,472","4,300,834","3,915,778","4,520,341","4,160,315","3,941,545","3,942,887","4,405,741","3,536,014","3,563,554","3,929,818","4,057,733","4,027,868","4,106,405","3,367,298","3,216,558","3,573,569","2,742,055","4,009,821","4,058,489","3,687,783","3,554,705","3,521,749","3,472,507","3,380,879","3,641,825","3,786,568","4,393,050","4,308,905","3,385,404","3,972,286","3,964,830","4,192,588","4,482,985","3,977,483","4,408,843","4,151,516","4,117,330","3,833,875","3,152,420","3,261,635","3,735,893","3,400,139","3,731,590","3,165,679","3,937,329","3,232,270","3,294,764","3,034,876","3,238,828","3,807,709","4,412,916","4,396,819","3,470,118"
297,alpha-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",33937,LC/MS Neg,100001300,1126,117.05571,600-37-3,99823,,HMDB00407,"9,448,668","10,043,291","9,259,658","10,307,580","8,768,037","9,050,821","9,064,057","8,883,682","13,950,445","9,586,321","12,538,730","9,679,267","10,399,592","13,913,908","8,485,613","8,548,106","9,748,845","10,717,741","9,865,475","8,874,191","8,385,566","10,264,221","8,563,523","10,830,998","8,814,939","11,241,606","11,229,708","9,779,973","6,961,687","9,966,929","12,157,445","7,906,703","9,047,589","9,553,143","9,012,868","8,151,829","8,784,662","7,237,439","7,845,031","13,316,488","9,563,124","8,759,146","8,691,859","8,805,050","8,075,561","9,060,940","10,667,397","8,269,252","10,758,067","11,103,700","11,867,967","8,923,194","7,792,153","7,729,208","12,121,477","14,622,386","8,961,225","8,441,278","9,485,229","9,289,730","10,153,659","10,690,393","9,161,153","9,889,901","8,988,224","8,373,505","7,140,622","7,684,796","8,253,608","9,490,713","8,381,662","7,126,969"
43,alpha-ketoglutaramate*,Amino Acid,Glutamate Metabolism,62101,LC/MS Polar,100002397,1916,144.03023,18465-19-5,,,,"52,150,188","38,893,592","49,998,096","50,049,796","39,372,984","50,893,320","39,761,320","50,418,160","49,686,396","38,851,036","38,223,100","37,909,616","39,236,832","40,299,436","39,539,464","39,645,656","48,743,068","47,756,532","40,481,256","47,047,120","41,672,372","49,910,852","37,614,224","38,307,776","39,252,300","44,842,564","38,014,484","36,025,096","46,741,000","49,026,904","38,395,948","49,267,848","41,408,056","40,495,980","40,379,040","50,198,192","38,708,332","49,930,472","48,373,136","39,811,352","40,128,764","32,242,788","30,959,344","39,789,544","41,980,536","31,292,464","42,625,756","41,828,592","40,759,172","32,914,998","41,918,336","43,833,024","32,498,206","26,483,942","46,486,084","33,814,496","57,838,688","53,634,976","50,307,204","54,892,560","41,274,292","53,849,232","57,891,204","39,137,188","42,155,788","32,975,396","33,783,472","40,959,040","43,644,244","34,828,064","40,453,836","35,583,836"
1128,alpha-ketoglutarate,Energy,TCA Cycle,528,LC/MS Polar,93,2700,145.01425,305-72-6;328-50-7;22202-68-2,51,C00026,HMDB00208,"6,546,073","4,698,204","6,609,899","6,181,429","2,612,136","3,113,487","3,411,149","5,266,432","6,376,564","5,362,123","5,358,406","5,483,469","3,302,792","2,603,552","3,123,295","3,464,199","5,520,853","6,115,643","5,259,035","5,753,523","2,434,587","2,732,334","2,713,464","2,849,238","2,795,731","2,356,875","2,775,152","2,536,777","2,040,460","2,477,076","2,098,759","2,560,355","9,442,838","8,510,215","8,913,888","11,057,604","8,656,458","8,981,913","11,319,567","10,165,954","11,600,884","9,335,765","9,982,875","9,021,174","5,462,332","4,323,009","4,572,579","6,984,243","1,898,591","2,360,618","2,374,811","2,929,835","1,538,627","1,895,965","1,976,280","1,751,741","34,383,448","25,607,908","31,830,724","32,348,354","26,638,082","19,974,428","59,068,780","30,269,096","13,113,291","10,363,188","12,985,932","10,780,741","8,225,218","6,922,957","6,345,436","7,155,438"
225,anthranilate,Amino Acid,Tryptophan Metabolism,4970,LC/MS Neg,1258,1520.8,136.0404,118-92-3,227,C00108,HMDB01123,"1,202,641","1,490,169","1,286,493","1,865,764","1,999,221","2,243,948","1,713,397","1,475,068","1,544,758","1,804,175","1,656,894","1,433,999","1,604,347","2,043,656","1,465,661","1,565,703","1,167,621","1,769,912","1,689,991","1,414,108","1,766,539","1,505,989","2,204,374","2,038,090","2,931,448","3,724,046","3,040,571","3,167,925","1,566,358","2,491,490","3,057,629","1,148,732","3,443,456","3,699,853","3,107,557","2,780,393","2,318,487","1,803,987","2,651,599","2,056,460","1,745,921","2,052,329","1,873,687","1,687,943","1,882,996","2,589,158","2,447,869","1,827,568","59,617,236","8,945,470","117,287,840","10,262,020","1,915,101","1,887,372","523,205,888","2,300,375","4,654,150","2,873,118","2,558,325","2,602,512","2,645,887","2,871,534","2,591,422","2,255,382","1,964,003","1,994,569","1,888,842","2,176,995","2,796,401","2,938,001","1,774,039","1,263,362"
986,arabitol/xylitol,Carbohydrate,Pentose Metabolism,48885,LC/MS Polar,100006430,1932.4,151.0612,,6912,C01904,,"627,886","555,782","623,779","735,413","432,773","484,810","675,786","574,228","619,033","592,641","464,686","426,016","525,341","512,469","432,940","488,678",,"508,771","549,484","602,417","559,187","537,735","480,932","508,069","586,251","513,711","494,361","493,965","489,726","350,741","438,188","690,109","440,412","438,875","399,381","525,335","418,232","517,625","374,421","516,281","314,685","387,557","408,846","459,142","529,571","306,615","395,264","543,048","435,247","417,026","479,349","510,407","554,930","484,376","477,593","417,436","463,765","446,721","529,574","514,080","411,234","405,604","461,373","363,022","439,572","310,001","435,390","428,126","377,165","416,946","444,597","296,456"
988,arabonate/xylonate,Carbohydrate,Pentose Metabolism,48255,LC/MS Polar,100006115,2700,165.04046,,,,,"23,109,452","19,348,856","22,981,052","23,426,916","23,994,374","22,325,708","22,816,664","21,975,524","21,925,704","22,210,448","23,493,044","23,455,988","22,816,848","21,742,328","23,939,456","23,350,284","22,732,412","21,667,190","22,349,546","22,173,852","24,250,544","21,894,044","24,012,978","23,571,838","25,193,776","23,943,914","28,404,048","25,845,162","26,858,482","26,051,648","26,485,272","25,032,310","29,449,734","29,835,410","28,383,818","26,544,044","24,580,744","23,175,802","23,703,630","23,626,804","22,222,992","25,067,724","22,731,314","22,401,156","18,606,154","21,340,648","16,803,228","19,225,744","35,689,896","31,170,658","36,494,048","32,981,036","38,515,448","34,376,192","61,873,312","35,243,668","26,696,972","25,013,040","23,747,440","24,482,186","26,622,378","25,200,972","32,828,038","30,941,578","25,312,702","26,990,046","19,824,096","25,152,012","20,098,292","23,811,156","18,171,600","25,883,616"
365,arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1638,LC/MS Pos Early,231,2825,175.11896,1119-34-2,232,C00062,HMDB00517,"13,676,923","14,511,340","14,340,396","12,045,784","9,120,316","11,632,630","6,359,938","11,455,878","14,457,326","11,200,137","10,984,100","11,405,537","9,587,552","7,456,732","6,494,474","5,977,320","12,342,750","14,403,930","11,830,686","12,635,631","4,742,345","10,035,645","9,525,265","5,725,909","12,548,660","13,963,100","10,517,932","10,708,875","4,720,215","11,067,751","5,531,246","9,363,633","187,680,624","169,221,104","176,455,536","188,714,864","172,370,864","174,622,864","202,457,664","175,788,144","115,706,728","116,513,056","103,499,032","127,362,104","35,770,564","31,658,456","32,281,164","49,476,776","3,224,441","6,017,985","3,479,552","6,019,293","2,887,073","3,206,611","9,669,359","2,445,450","559,494,272","541,479,552","597,928,832","511,567,072","462,915,040","532,538,944","574,696,704","499,353,984","213,162,400","210,333,152","201,246,816","217,994,112","82,542,752","82,257,664","93,691,512","112,257,696"
38,asparagine,Amino Acid,Alanine and Aspartate Metabolism,512,LC/MS Pos Early,917,1225,133.06077,70-47-3,6267,C00152,HMDB00168,"20,170,276","15,274,092","19,395,860","16,108,894","11,657,922","10,942,599","8,377,736","18,008,226","19,778,400","15,233,776","14,937,974","17,963,092","10,193,904","9,019,859","9,696,424","12,234,833","20,806,012","20,032,360","15,667,654","19,069,576","7,560,420","11,599,268","10,384,640","12,470,789","4,264,422","5,906,345","3,505,824","4,585,578","4,557,657","6,916,573","3,832,632","9,636,252","18,783,700","19,444,468","21,413,188","23,864,128","15,161,340","10,630,402","14,965,990","10,681,421","48,389,004","43,639,724","34,270,964","60,913,368","30,566,298","24,480,778","27,993,772","40,852,228","3,200,156","2,571,459","3,652,192","4,006,891","2,531,562","2,495,429","8,467,872","2,667,016","19,373,882","18,053,424","16,791,092","15,896,958","29,456,104","12,283,556","100,908,144","27,450,032","169,377,904","147,873,376","145,188,768","170,554,672","110,794,248","105,934,952","97,877,792","118,938,648"
