	rxn10125	rxn00779	rxn13726	rxn00781	rxn00371	rxn08094	rxn00154	rxn00184	rxn05312	rxn05318	rxn10113	rxn00285	rxn05307	rxn00165	rxn00175	rxn08556	rxn01639	rxn05158	rxn00615	rxn00148	rxn05229	rxn05654	rxn10042	rxn01100	rxn00250	rxn00134	rxn13299	rxn13643	rxn00374	rxn05581	rxn00459	rxn00251	rxn00747	rxn01642	rxn12604	rxn02085	rxn01106	rxn10165	rxn10053	rxn05467	rxn05319	rxn05468	rxn05488	EX_cpd00029_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00001_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	rxn00695	EX_cpd00581_e	ATPM	DM_cpd00002_c
0	-207.80897808459912	197.55623069214096	243.58490642238507	-80.89015117717749	10.252747392458174	10.252747392458174	96.1605847300471	10.252747392458174	1000.0	432.91150052753306	360.25098593734856	-10.252747392458174	-20.505494784916348	-20.505494784916348	-96.1605847300471	116.66607951496347	10.252747392458174	298.73450158259936	-883.3339204850365	336.75091579748596	-220.08483628252247	-10.252747392458174	243.58490642238507	80.89015117717749	220.08483628252247	432.91150052753306	96.1605847300471	96.1605847300471	10.252747392458174	883.3339204850365	116.66607951496349	220.08483628252247	-116.66607951496347	10.252747392458174	10.252747392458174	-10.252747392458174	-116.66607951496349	701.2654984174006	220.08483628252247	-116.66607951496346	-501.3084184351519	180.12549296867428	-96.1605847300471	96.1605847300471	-432.91150052753306	116.66607951496346	883.3339204850365	-1000.0	501.3084184351519	20.505494784916348	-180.12549296867428	-298.73450158259936	10.252747392458174	96.1605847300471	-10.252747392458174	8.39	432.9115005275334
1	-121.41082303813003	99.48885801291453	220.8996810510445	0.0	21.921965025215492	21.921965025215492	55.644927962483536	21.921965025215492	746.9962687781833	396.28558297088864	320.388539063959	-21.921965025215492	-43.843930050430984	-43.843930050430984	-55.644927962483536	99.48885801291453	21.921965025215492	441.8604801344827	-900.5111419870855	340.64065500840513	-241.1517969954906	-21.921965025215492	220.8996810510445	0.0	241.1517969954906	396.28558297088864	55.644927962483536	55.644927962483536	21.921965025215492	900.5111419870855	99.48885801291453	241.1517969954906	-99.48885801291453	21.921965025215492	21.921965025215492	-21.921965025215492	-99.48885801291453	558.1395198655173	241.1517969954906	-99.4888580129145	-322.06856986284845	160.1942695319795	-55.644927962483536	55.644927962483536	-396.28558297088864	99.4888580129145	900.5111419870855	-1000.0	322.06856986284845	43.843930050430984	-160.1942695319795	-188.85674891266603	21.921965025215492	55.644927962483536	-21.921965025215492	8.39	396.28558297088864
2	-131.77164685114423	131.77164685114423	263.54329370228845	0.0	0.0	0.0	131.77164685114423	0.0	969.1220769083909	414.4802150286234	395.3149405534327	0.0	0.0	0.0	-131.77164685114423	131.77164685114423	0.0	274.31856817747916	-716.3540576812932	282.70856817747915	-150.93692132633493	0.0	263.54329370228845	0.0	150.93692132633493	414.4802150286234	131.77164685114423	131.77164685114423	0.0	716.3540576812932	131.77164685114423	150.93692132633493	-131.77164685114423	0.0	0.0	0.0	-131.77164685114423	573.8071363549583	150.93692132633493	-131.77164685114423	-658.8582342557211	197.65747027671634	-131.77164685114423	131.77164685114423	-414.4802150286234	131.77164685114423	716.3540576812932	-848.1257045324375	658.8582342557211	0.0	-197.65747027671634	-395.3149405534326	0.0	131.77164685114423	0.0	8.39	414.4802150286234
3	-311.92127610498613	297.7643175367634	187.6245462364271	-211.03052370266118	14.156958568222747	14.156958568222747	58.41987669765672	14.156958568222747	1000.0	396.4721962203979	274.35834007052927	-14.156958568222747	-28.313917136445493	-28.313917136445493	-58.41987669765672	86.73379383410219	14.156958568222747	189.4165886611932	-913.2662061658978	338.0523195227412	-251.318525688639	-14.156958568222747	187.6245462364271	211.03052370266118	251.318525688639	396.4721962203979	58.41987669765672	58.41987669765672	14.156958568222747	913.2662061658978	86.73379383410219	251.318525688639	-86.73379383410219	14.156958568222747	14.156958568222747	-14.156958568222747	-86.73379383410219	810.5834113388069	251.318525688639	-86.73379383410222	-320.4133006247294	137.17917003526463	-58.41987669765672	58.41987669765672	-396.4721962203979	86.73379383410222	913.2662061658978	-1000.0	320.4133006247294	28.313917136445493	-137.17917003526463	-189.41658866119315	14.156958568222747	58.41987669765672	-14.156958568222747	8.39	396.47219622039745
4	-110.54611995166172	81.56209792024183	192.10821787190352	0.0	28.98402203141989	28.98402203141989	23.594053857402045	28.98402203141989	620.2413994360531	366.58872786787526	273.67031579214535	-28.98402203141989	-57.96804406283978	-57.96804406283978	-23.594053857402045	81.56209792024183	28.98402203141989	479.52478416757276	-918.4379020797581	342.9946740104732	-261.43257609023135	-28.98402203141989	192.10821787190352	0.0	261.43257609023135	366.58872786787526	23.594053857402045	23.594053857402045	28.98402203141989	918.4379020797581	81.56209792024183	261.43257609023135	-81.56209792024183	28.98402203141989	28.98402203141989	-28.98402203141989	-81.56209792024183	520.4752158324272	261.43257609023135	-81.56209792024184	-175.9383133498498	136.83515789607267	-23.594053857402045	23.594053857402045	-366.58872786787526	81.56209792024184	918.4379020797581	-1000.0	175.9383133498498	57.96804406283978	-136.83515789607267	-99.7661836036259	28.98402203141989	23.594053857402045	-28.98402203141989	8.39	366.5887278678754
5	-120.06564346202903	120.06564346202903	240.13128692405806	0.0	0.0	0.0	120.06564346202903	0.0	883.2780520548795	377.41120429642524	360.1969303860871	0.0	0.0	0.0	-120.06564346202903	120.06564346202903	0.0	248.95556083439624	-651.9710390411597	257.3455608343962	-137.2799173723672	0.0	240.13128692405806	0.0	137.2799173723672	377.41120429642524	120.06564346202903	120.06564346202903	0.0	651.9710390411597	120.06564346202903	137.2799173723672	-120.06564346202903	0.0	0.0	0.0	-120.06564346202903	523.0811216687924	137.2799173723672	-120.06564346202903	-600.3282173101452	180.09846519304355	-120.06564346202903	120.06564346202903	-377.41120429642524	120.06564346202903	651.9710390411597	-772.0366825031887	600.3282173101452	0.0	-180.09846519304355	-360.19693038608705	0.0	120.06564346202903	0.0	8.39	377.41120429642524
6	-138.76627008923924	135.70387299107608	274.47014308031527	0.0	3.062397098163166	3.062397098163166	129.57907879474973	3.062397098163166	1000.0	438.67145334803297	410.17401607139135	-3.062397098163166	-6.124794196326332	-6.124794196326332	-129.57907879474973	135.70387299107608	3.062397098163166	316.0143600440988	-788.5108535706102	309.0923745532832	-173.38850156220713	-3.062397098163166	274.47014308031527	0.0	173.38850156220713	438.67145334803297	129.57907879474973	129.57907879474973	3.062397098163166	788.5108535706102	135.70387299107608	173.38850156220713	-135.70387299107608	3.062397098163166	3.062397098163166	-3.062397098163166	-135.70387299107608	608.2003665175874	173.38850156220713	-135.70387299107605	-654.0201881700752	205.08700803569567	-129.57907879474973	129.57907879474973	-438.67145334803297	135.70387299107605	788.5108535706102	-924.2147265616862	654.0201881700752	6.124794196326332	-205.08700803569567	-391.79963348241256	3.062397098163166	129.57907879474973	-3.062397098163166	8.39	438.67145334803297
7	-97.14265692738014	91.03989657831765	303.0680540443903	57.442750269346256	6.102760349062499	6.102760349062499	136.27712614953893	6.102760349062499	1000.0	471.6447129325598	451.55070089205424	-6.102760349062499	-12.205520698124998	-12.205520698124998	-136.27712614953893	148.48264684766391	6.102760349062499	414.93413879767945	-851.5173531523361	335.3675867830209	-186.88493993535695	-6.102760349062499	303.0680540443903	-57.442750269346256	186.88493993535695	471.6447129325598	136.27712614953893	136.27712614953893	6.102760349062499	851.5173531523361	148.48264684766394	186.88493993535695	-148.48264684766391	6.102760349062499	6.102760349062499	-6.102760349062499	-148.48264684766394	585.0658612023205	186.88493993535695	-148.48264684766391	-693.5911514458201	225.77535044602712	-136.27712614953893	136.27712614953893	-471.6447129325598	148.48264684766391	851.5173531523361	-1000.0	693.5911514458201	12.205520698124998	-225.77535044602712	-414.93413879767945	6.102760349062499	136.27712614953893	-6.102760349062499	8.39	471.6447129325601
8	0.0	0.0	322.2676474062844	161.1338237031422	0.0	0.0	161.1338237031422	0.0	915.8883343178057	453.749167158903	483.40147110942667	0.0	0.0	0.0	-161.1338237031422	161.1338237031422	0.0	445.35916715890323	-716.7122066641404	292.6153434557608	-131.4815197526186	0.0	322.2676474062844	-161.1338237031422	131.4815197526186	453.749167158903	161.1338237031422	161.1338237031422	0.0	716.7122066641404	161.1338237031422	131.4815197526186	-161.1338237031422	0.0	0.0	0.0	-161.1338237031422	432.48686320837925	131.4815197526186	-161.1338237031422	-805.6691185157109	241.70073555471333	-161.1338237031422	161.1338237031422	-453.749167158903	161.1338237031422	716.7122066641404	-877.8460303672825	805.6691185157109	0.0	-241.70073555471333	-483.40147110942655	0.0	161.1338237031422	0.0	8.39	453.749167158903
9	-276.75764379171653	253.01758749755822	155.98059580282367	-186.8973177432256	23.740056294158304	23.740056294158304	18.640157166016074	23.740056294158304	815.0008786332547	359.8868425974033	222.10086555715634	-23.740056294158304	-47.48011258831661	-47.48011258831661	-18.640157166016074	66.12026975433264	23.740056294158304	264.6596491589519	-933.8797302456674	341.24668543138614	-275.1264156770535	-23.740056294158304	155.98059580282367	186.8973177432256	275.1264156770535	359.8868425974033	18.640157166016074	18.640157166016074	23.740056294158304	933.8797302456674	66.12026975433264	275.1264156770535	-66.12026975433264	23.740056294158304	23.740056294158304	-23.740056294158304	-66.12026975433264	735.3403508410481	275.1264156770535	-66.12026975433268	-140.68089841839716	111.05043277857817	-18.640157166016074	18.640157166016074	-359.88684259740285	66.12026975433268	933.8797302456674	-1000.0	140.68089841839716	47.48011258831661	-111.05043277857817	-79.66052779220661	23.740056294158304	18.640157166016074	-23.740056294158304	8.39	359.8868425974025
