opt_fraction	R_value	p_value
0.1	-0.06608026266888416	0.7881020266359089
0.2	-0.01991459970843084	0.9355055098198748
0.3	-0.01991459970843084	0.9355055098198748
0.4	-0.04311736846818499	0.8608709300115214
0.5	0.08414649988767078	0.591627530509689
0.6	-0.1182157332670435	0.44470891745193064
0.7	0.11185984624065384	0.4074339819685048
0.8	0.0155111363565886	0.9175806835675476
0.9	0.08488854807315674	0.4979708414038255
0.65	0.010500144184061835	0.938209757104554
0.75	0.021572657755148147	0.8855566175477665
0.725	0.1149122371552443	0.3946736056561587
0.687	0.11037752122513726	0.4137160431074952
0.675	0.10366752571875042	0.44284140304044384
0.713	0.13733558377394667	0.30833270096720194
